comment,label
first episode looks soo interesting,NA
love from bangladesh i love pakistani drama,NA
fahad look humara indian actor sai ketan jaisa,A
fmhan but sanwel be kuch kam nahi,NA
ya allah muje apne wasile zati ghar naseeb frma ameen,NA
suna bhut acha h,NA
neya saal nai bakchodi lagaye ga,A
jaldi jaldi dekh lo me dunia khatam,A
yeah papa hy,NA
bharat janoobi asia mein jung ki aag bharkana chahta hai,A
judges ka b ehtesab hona chahiye,A
kue last episode to nahi ana wali,NA
na ahel intezamiya ki wajah se sheher mein safai ka nizam tabah ho chuka hai,A
Teri bhen ka khasam ha ducky gandu,A
us bro us,NA
i need english translation,NA
after ages found a fantastic one,NA
ankhon nami too sab per kemi too hits too hard,NA
mexicans ki maa chodnay ki zrurat hai,A
wo ghussey mein beqaabu ho jata hai aur cheezen utha utha ker phenkney lag jata hai,A
musalmaanon ke khilaaf videos bananey aur phelaney per uska channel block ker diya gaya hai,A
mujhy tung na karo idher se dafa ho jao,A
meri behen aur kutta mai koi farq nahi,A
aala afsaraan hakumati support program per daaka martey rahey,A
i love tasla,NA
2 din randi rona chalta rahey ga ab bc,A
overhyped same old storyline if anyone out there looking for something different free advice skipe it,NA
feel like kaisi teri khudgarzi,NA
tu baba dalla bangali hai,A
hazaron kashmiriyon ko lucknow agra aur banaras ki jailon mein muntaqil ker diya gaya hai,A
police waley ne intehai zaeef ul umer khatoon se badtameezi ki aur khatoon ki walking stick bhi utha ker dour phenk di,A
dressing dekho ky lghta muslim kay naam per black spots,NA
tumhari raye ki koi ehmiyat nahi hai kyun ke tum eik gashti ho,A
koe batay ga kasa ha drama dekny wala ya time waste,A
isreali chutye apny aap ko khuda samajh bethy hen,A
mustafas brother stupid,A
who watching after seeing reels of cyber truck,NA
y kis time atii h tv pr,NA
over acting ke paise nhi milenge randi,A
me to from nepal,NA
what an ending,NA
inki bhen ki siri bijli phir mehengi ker di hai,A
please learn how to eat guysdont hold knife in your left hand,NA
mujh laga mena chrome open karlia ye kia kehte he party wale seen sal hogye khloe hue kesa begharat drama bana ya he,NA
muzahireen ne police station ko aag laga aur aur 5 police waly zinda jal ker mar gaye,A
kin chawwalon ka naam le diya hai? mujhe to inki shakal dekhtey hi ultiyan aana shuru ho jati  hein,A
kanjar imran khan ne akheer mehengai ker di hai,A
kanjaron ki sohbat se acha hai main akela ghar per hi rahun,A
bharwe masjid mae hoon mae,A
yaar i hate his accent st thing nd thing rd thing,A
ara ya to faraz bux ha,NA
besharm insaan kia apni maa ky sath bhi is tarah baat krta hai?,A
fazal baks a kya bhai,NA
new year kaise muje samj nhi aya,NA
sab kanjar jail jayen gey,A
add subtitles plz,NA
sahaba k bary main kuch kaha to tera sara khandaan chod dun ga baigherat,A
current lagney se 3 nojawanon ki halakat per K Electric ke maalik CEO aur chairman mafroor qarar,A
pahele pura khatam hone deta hu baad me dekhuga,A
sikhon ka hajoom dekh ker police walon ki bund phat gai thi,A
tum bakwas aisy ker rahi theen jesay main ne tumhen maar peet ke bithaya ho ye kam kernay,A
jhonny lite in drama,NA
how watching nd time,NA
first time watching darma,NA
typpical story t,NA
xe no she made it too obvious i think,NA
mai pathan sana khan,NA
ye qoum k bachay nhi hawas ke pujaari hai bharwe,A
main tujhe maar dalun ga kaat dalun ga,A
eik so saal mein kabhi is mulk mein is tarah ki dakeeti nahi hui jo mojoodah hakumat ne 300 arab maaf ker ke ki hai,A
in in nj ok,NA
predictable story line,NA
ye kamzarf log pakistan ka khatey hein aur pakistan ke khilaf hi baten kertay hein,A
wah bai lagtah ha pakistani drama budget barh gayah ha tesla cybertruck,NA
mere humsafar drama bhi hala father yahi jo ab ayra,NA
me in dec,NA
hindu to kutty ko b baap bna lety hn,A
new series bohut acha laga,NA
sheikh dost hony se acha hai insan ka koi dost hi na ho,A
long live bangladesh and pakistan,NA
Kch log iski trhan he hoty hen bht bolty hen krne me phat jati hei,A
ahhhhhhh it reminds me of part of new year from peerekamil,NA
exactly here on th,NA
why they use abduction in always every pakistani drama,NA
is waqt dunya mein sb se bara don america hai aur trump us gang ka head hai,A
dosri zaat ke larkey se pyar kernay per nojawan larki ko tashaddud na nishana banaya gaya,A
ye drama banane wale pe lanat ho bakwas drama afsoos bat h,A
is kuttey ko is khabasat per giraftaar kiya jaye,A
opposition ne hakumat ki maa ko lun de dia hai,A
Austrians zyada mehmaan nawaz nahi hoty,A
main un manhoos hakumaton ka ziiker bhi apni zuban per nahi laon ga jinhon ne mulk ko 24 hazar arab rupey ka maqrooz ker diya jis ki wajah se muashi soortehaal itni abter hai,A
kamyar me yar,NA
jab tak pashtoon dupatta letey rahey gey hum kabhi taraqqi nahi ker saktey,A
mee only for belal abbas,NA
abi man kuch hee sean dekhy kya hogya he pakistan party dekha rahe hen bilah wo larki chipak chipak k dance krrhe hen,NA
aman aur jung donon ke liye tayar hein jung apney zor e bazu per larren gey aur bharat ko maza chakha dein gey,A
jo islamabad mein bethay hein wo kehtay hein ke nokriyan na maango hum to idaarey band ker rahey hein,A
modi sarkar ne chaand per janey ke liye ghareeb bhartiyon ke 2000 crore rupey gharq ker diye,A
ager jooti latkaney se apki gaari nuqsan ya haadsey se bach sakti hai to apki zindagi gaari se zayada qeemti hai eik jooti galey mein bhi latka lein,A
ducky ka lun mu main lena chor or koi apna mujra pesh ker sastay dhakkan,A
mohammad amir eik khudgarz cricketer hai usne zayada paisey kamaney ke liye test cricket chor di hai,A
ager aisey nachna talent hai to shadiyon mein nachney waley sarey gaandu bachey talented huay,A
st episode totally bakwaas,NA
please allah muhammad name at least dramo nechy na likha likha krain,NA
isne apna lund chor k baqi sab dikha rakha hai,A
kon kon aaj dekh raha,NA
kaise ajeeb naam rakh rahe ajkal dramo me aliyar kamiyar ye koi naam hue bhala,NA
watching from bangladeshpakistan,NA
bharat ko bari sharmindagi uthana pari puri dunya mein moun kaala hua,A
bilkul sai kaha bahi,NA
itnay baray mummay hain us gashti k kia btaon,A
police ke badtareen tashaddud se woh aadmi halaak ho gaya,A
Chotiyoo ke kami nhi ab ye kam is jesy chotiyo ny start krdia hy,A
i like billal abbas,NA
please upload ost,NA
any from bangladesh,NA
please add english subtitles bangla please please please please please please please please please please please please please please please please please please please please please please please please please please please,NA
tum apna churail jesa moun le ker yahan se dafa ho jao,A
eik mint ruk madarchod,A
dosron per nukta cheeni kernay waley zehni mareez hotey hein,A
mayor wasim akhtar ne mqm ka titanic dabo diya hai maloom nahi unhen kon chala raha hai,A
bohut bara chutiya hai tu wesay,A
RSS musalmaanon ki nafrat mein banai gayi,A
teri film ka naam hona chahiye chulbulay tattey,A
Police walo tuaddi pein di sirri ,A
Usey apney baap ke paisey pe bohut takabbur hai,A
pakistani drama me plz muslin m culture hi khayal rakho ky kapry to thek pehny,NA
mine manto nahi ho boring heai,NA
NAB ki wajah se hakumat badnaam ho rahi hai,A
itni pyari beti meri hoti jaan maar deta,NA
us ne meri zindagi azab bana di hai,A
teri maa ka yar hu bhainchod tamiz kar,A
iski to gand phat gai hai mjy lg raha hai,A
dunya chand pe ja rahi hai aur ye loru ko lagta hai ke aalu ko mou pe laga ker ye gora ho jaye ga,A
phir wahi purani cringe dha wali rich stories ameer larkai ghareeb larki sai pyar hogaya,NA
ap har drama aa jate ho comments karne,NA
anshuman tu eik number ka chootya hai,A
ek episode mai itne add tang he kardia,NA
bhai drama bht acha hy story bhi achi hy kamiyaar kia personality hy amazing yarr bhai cyiber track tu karachi mai dhoom macha dey ga,NA
agar tum ab bhi trump ke supporter ho to tum pagal ho,A
ye bhen ka lora baten sun rha tha hamari,A
trump safed faam baladasti ki aag bharka rahey hein,A
ya darma dikhna jarah hn dikhna sa phly koi bnda honestly btya darma kasy,NA
kisan kuttey hamara baap banney ki koshish ker rahey hein,A
you didnt add,NA
entry dress dekh kar lag nahi raha pakistani drama,NA
randi olado tum ne kab talvar chalai hai madorchod teri maa ki choot maru bosrike,A
kuch achi story lag rahi,NA
nazar na lagay tujhey bhosrike,A
wahaj ali tarah sun mere dil drama acting ha ya sarabb wahaj ali king ha,NA
yumna hoti to drama me view hi nahi hota,NA
whats intro song called its so cute,NA
i swear it has coolest intro of a drama bro im flabbergasted,NA
wondering where they arranged it from,NA
islam ke naam per logon ko gumrah kia jata hai,A
now watching all episode,NA
zia ne pakistan k aayen ki bund maar di thi,A
kashmir ke bary mein media ki reports gumrahkun hein,A
bhai ye baat bohat zabardast ma kafi arse ye dekh rha hun bas bolta nahi kahi shiddat pasand log picheh na jaye baat smjty nahi bas bolna shuru ho jaty hn,NA
english subtitle plzz,NA
main aur kuch ni janta par bhola record tera abu hy or ducky tera dada,A
nd january pr kis kis ne drama dekhna start kiya,NA
waoo yar maza aa ghya drama dakh krwhat a amazing drama,NA
i m watching jan,NA
sub bahn lore mami dadi he,NA
modi ki islam dushmani belagaam lakhon musalmaan bharti shehriyat se mehroom,A
im watching februari time pm from qatar,NA
ek dhakka merne wala hogya nadir,NA
im watching dec rat,NA
humraz wale drama set h ayeza khan k father mother ghar,NA
itna haramo londa main ne apni zindagi mn nai dekha,A
kuch namak haraam ehsaan faramosh aur beghairat log mery barey mein buri buri khabren lagatey hein,A
i just came here to see tesla cyber truck,NA
lahori khotay khor qoum hai,A
aaj kal aise hi log karachi m dheshat phela rhe inko hi hero dikhaya jae ga to sudhar chukka muashra,NA
bhai na sheeshay kuch kara na uss tyre puncher hua dono kisi dekhaa hay,NA
Hamen tamam Falasteeniyon ko halaak kr dena chahiye ya wo ghulam bn kr rehna qabool kr lein,A
tery nipple bary hn aur lulli choti hai,A
larkana zamni election mein bhookey peyasay sindhiyoun ne bhutto se jaan chura li,A
me on jan,NA
kanjari ke bachey mujhey teri madad nahi chahiye,A
im silently watching from nepal right now at pm,NA
ok what fk,NA
doctors ki ghaflat ki wajah se preganant kahtoon zindagi ki bazi haar gai,A
eik mutmaen beghairat youthiya aaj bhi imran khan ko support ker raha hai,A
i see today,NA
o pagal nai,A
very nice drama,NA
i literally hate to see kamyar partying yaar,NA
bhosriwalo tum kia soch rahey thy,A
drama deserves more views,NA
gaana ne majubor he kr diya drama dekhna,NA
bilal ki maa ka bhosra,A
mjy aik bat smjh nhi ati drama dekhty huy usky nichy who loves mohammed waly msg kon log krty hyn kia drama melaad shreef horha hota ya koi bat islam related ajati hy ya koi asi ad ati i dont understand agr itny islami hyn ap to islamic content hi dekho post kro comment kro dekhni film song drama shorts tiktok reels but nichy comment nn allah mohammed nam likh k be hurmati krni,NA
behnon k sath zinaa kerna to inka khandani kaam hai,A
we want dramas like ankahi tanhayian anddhoop kinaray,NA
kutte ke bache haram ki nasal,A
imran sahab gas aur bijli ke billon aur adviyaat ki qeemton mein kharbon ki corruption ke khilaf kis waqt aur kahan kharey hona hai?,A
sharab nasha haram to fir kyon dikha rahe to,NA
bharwy yahoodi sb ki bund maar rhy hn,A
bhai ki gand to bilkul malai jesi hai,A
tum bohut fazool kharch larki ho,A
reyasat e madina mein jahan arooj ki inteha thi uske muqabley mein yahan zawaal ki inteha hai,A
college mn teri bund ki photo gum gai,A
youthiye tab tak baaz nahi ayen gey jab tak december mein hakumat ki gaand band hotey na dekh lein,A
tesla cybertruck ha elon musk k,NA
maqbooza kashmir jahannum ban chuka hai soortehal sangeen hai,A
winter holidays ho gaye ab bs ye drama hi dekho ga,NA
multan se bachon ko aghwah kernay ke waqeat mein izafa ho gaya hai,A
is bndy ne sakoon se bethy bethy socha kyun na main apni baji pesh kr dun,A
chori kerty pakry jany per usne apni kam wali ko nanga ker k sary mohally mai phiraya,A
please bangla david,NA
tiktokers ki mujra ker ker k bund bari ho rahi hai,A
puri qoum ne zardari ki award jeetney wali acting ka tamasha dekha hai,A
kambal to pakra pencho,A
who watching in month date,NA
hala and papa again,NA
tu ne ager kal tak meray paisey wapis nah kiye to teray sath bohut bura hoga,A
hey im from sl i also wtched iqtidar befor i obessed with pakistani dramas can you add english subtitles,NA
vote for ishq murshid season please please please please please please please please please please please please please,NA
yes ur pampera tart koi notice nahi hy jo k hona chahiye,NA
nehas mather arguing with nehas father,NA
moti kutta apna wazan kam karo,A
musalmaan kanjaron se deal kernay ka yehi tareeqah hai,A
family itni decent lrkaa begraaaa huaaa,NA
finally hala got her dad love,NA
started watching just now,NA
au bhai os drama man bahut sharif,NA
kase kase chehre dal lte dramon ma drama dakhne dil he ni krta,NA
humare saath road pr koi aesi badmaashi kare maa kasam us hi waqt usko thok daalenge phir jo hoga dekha jaega koi msla nhi,NA
whos here from bangladesh,NA
samaj nhe aata computer say paisay kaisay nikal aye,A
modi ke dour mein ishteaal angezi mein izafah ho gaya hai,A
chal dafa ho yahan se mc,A
whos watching from bangladesh,NA
sarah khan hota yaha pe to accha lagta,NA
i dont understand why cant we introduce positive green flag male characters i dont like party boys being portrayed we need a breath of fresh air in industry i didnt like kamyars party scenes,NA
you finally edited your comment appreciated,NA
taaliyan bajti rehni chahiyen behn ke loro,A
meny kya ha,NA
zw koi kaam nahi h bhai pe,NA
watched full episode in thank god i had premium wrna ye cringe drama py dekhna pdta,NA
molana moun chupaney ke liye khud ko ttasalliyan de rahey hein,A
siyasatdaan taqreerein kertay rahey aur jail mein zehni maflooj begunah mout maara gaya,A
hy koi ha bat karni lia,NA
molana ka plan B seyasi badhawasi ka plan hai,A
hamisha tarah turkish seris tarah ek maldar ur awara larka ur ek ghareeb larki,NA
aaj kal pakistan drama behayai badhati ja rahi inka bai card karo,NA
Florida waley sarey hi dhokeybaaz hein,A
tesla truck kab sai aya haipakistanmai,NA
you really put it well,NA
to teri bhen k mummy choty hain to tu sarr to na ab,A
hakumat karkhaney band ker ke langerkhaney khol rahi hai,A
bangali bachi ki phuddi bht kali hoti hai,A
dunya chutyon se bhari pari hai,A
sharab haraam tambaku muzir dikhana zaruri hei agenda kamal hei bheeii ary maan gaye,NA
apko kya lagta ise drame song best ya koi chand rakh,NA
noon legue to apni kahi hui bat se hi muker gayi hai ab unhen jhoota kahen ya maha jhoota?,A
iam indian but i like pakistani darma,NA
kon si rocket science thi ke mulk to ghareeb se ghareeb tar hota gaya aur ye teen khandaan ameer se ameer tar hotey gaye,A
imran khan general bajwa ka kutta hai,A
mujhe pyar hua part pr alag character naam log story kha sth,NA
larkana mein bhutto ke katey ki vaccinne tayar ker li gai hai jis ke nateejey mein PPP ko zamni election mein shikast ho gai hai,A
karan ki behen k mummay aisy hn jesy doodh ki factory kholi ho,A
ye tesla promotion krr di,NA
dushman ne hamla kia to nuqsan uthaye ga,A
tu to na hi bol biwi ki kamai per palney waley,A
kon kon december daikh raha hy,NA
zalim wadeerey ne ghareeb mulazim ko maar maar ker zakhmi ker diya,A
english subtitles please,NA
today im starting to watch,NA
tum jitney zehreely ho tum per to zeher bhi asae nahi kary ga,A
koi rich mujhe bhi mil jao kya miracles bhi sirf posh areas me hotay any rich here adopt me please just tired being poor stressed depressed even becomes faithless,NA
whos watching on,NA
mujhe to yah samajh nahin a rahi nai nasl kya sikha rahe,NA
yahoodiyon ne puri dunya ki maesheyat per qabza kiya hua hai,A
cyber truck kiska bhai,NA
mera hayal hai tumy dimag ka istemaal kernay ki zrurat hai ahmeq aurat,A
kamiyar kia hota seedhay kumhaaar he rakh letay,NA
ye kn jahil h jo hamary nabi drama s compare kr rh h so cheap,NA
see conversations to hows understanding his father like a friend,NA
meri zindagi tu episode,NA
please upload english subtitles otherwise how can we understand from srilankans,NA
itny dheyan se kia dekh rha hai tu ne b apni gand marani hai?,A
yaten thinking tt thy kwik sized steel aa fc sc cc gg uhh in on,NA
Chor darwaazy se hamla karney walon ko monh ki khaani pari,A
yar iss episode jo car name kya,NA
bandy ki koi value honi chahiye biwi ki bund thally lagna koi fun nahi,A
not but yes,NA
imran sahab eik saal mein 7600 arab rupey ke tareekhi qarzey ke khilaf kis waqt aur kahan kharey hona hai?,A
jo modi ker raha hai us se tamam hindustani riyasaton mein bechani paida ho gai hai,A
afghani namak haram kutty kabi apni harkaton se baz nai aa skty,A
kia bakchod utha ke le ker aye ho,A
arjumand rahim looks so much younger here than in her role as taj bibi in sher,NA
im watching nov,NA
imran sahab yeh bhi bata dein ke mulki maeshiyat ki tabahi ke khilaf kis waqt aur kahan kharey hona hai?,A
wazarat e qanoon ne adaalti nizaam per hamlah kiya,A
sb kanjaron ko goli se urra do,A
ya faria k dad indian actor lg rha,NA
2011 mein eik islam mukhalif shakhs ne firing ker ke 77 afraad ko qatal ker diya tha,A
india mein aqliyatein intehai ghair mehfooz hein,A
sir se sb se chutya sawal hai,A
waoooo ary ab sharaab alcohol b advotice chala rahi ho sharam kro sharam,NA
mujhey rape ki dhamkiyan mil rahi hein,A
english sub title upload please,NA
today start watching,NA
thanks for name,NA
gandoo ke bache sharabi bharwe tu pakistan to aa,A
tu abi tk lun choopu hi hai,A
english subtitles plzzzz,NA
kia pakistan may sirf itnay rich log rehtay poor logo life per koi drama kio nahi banta,NA
i love muhammad,NA
abe pakistan club la diya,NA
kindly report these types of comments spam misleading just attention capture krne kliye krty hein,NA
pakistan mai koi islamic system nahi,NA
aala hukkam eid mananey mein masroof hein aur awam pareshan hai,A
main apney paisy jesay marzi kharch krun kutta tum apney kam se kam rakho,A
hindustan mukammal tor per hindu janooni mulk bn chuka hai aur aalami aman ke liye khatra hai,A
Tahir Shah ki awaz phatty huay horn jesi hai ,A
hmesha pakistani drama ma bazurg log hi nmaz parta hn why,NA
kutta tumhen ronay ki zrurat nahi hai ghalat kam ka nateejah yehi hona tha,A
iss drama ost bhi asim azhar ne gaya hein bahhh,NA
ye roll feroz khan pe zyda acha lgna bhai men koi roob koi attitude e nai gussa e nai ha yar,NA
kamyaar ban gaya kamina,NA
bharat goliyan chala sakta hai lekin kashmiriyon ko pakistan ka jhanda uthaney se baaz nahi rakh sakta,A
baap sirf balo say nahi gyrat awal say b farig hay,NA
jo aagy bharny se roky uski maa chod do,A
hitler ne yahoodiyon ka khatimah ker diya hota to aaj dunya mein aman hota,A
tu cute nahi chudi hui machli lag raha hai,A
meri girlfriend ne phone per mery sath badtameezi ki,A
aao randi mere lund pe betho jannat dikha dunga,A
gulalai ismail pushtoon culture ki dushman hai,A
nyc drama i love it,NA
what a fabulous drama yrr,NA
good and best shwo,NA
ye safed faam logon ko ghulam bananey ki sazish hai,A
us ne jo kuch mery barey mein kaha wo sb bakwas hai,A
kuttey ki bachi ne meri sari kamai apni eyashi mein ura di hai,A
tu bara kutta insan hai,A
sath ye b btao na jo scene dikha rhy ho ye b haram h sharab smoking to government ya phir youtube policy k dar sy likh diya,NA
pak drama handsome boy aa gaya,NA
tiktok k bondi sastay rates mai dasteyab hain,A
uffff ab ye kia bkwas dikhaya ja raha pakistani dramon club dance astghfirullah r shrab noshi cigarettes ufff mix gathering,NA
one punch knock down really,NA
meri baddua hai tum jahannum mein jao,A
bus stop per khawateen se badtameezi ki jati hai,A
hindu nasal hi ghareebon ki hai,A
karachi gandagi ke lehaz se dunya ka panchawan ganda tareen shehar bn gaya hai aur siyasatdaan karachi ko lawaaris chor ker point scoring mein lagey huwey hein,A
sharab noshi haram he karna jaiz he typical pakistani liberal mindset,NA
apko aisi bakwas per kernay per sharam aani chahiye,A
khan sahab muattal muattal aur notice notice khelna hai to ye dramy shehbaz sharif apse behter ker leta tha,A
salam modern na banao salam salam tarah karo,A
bharat ne kashmir harap liya hai,A
bharti aabi dehshat gardi ki wajah se daryaon mein selabi soortehaal per foj ko talab ker liya gaya,A
announced new fahad drama,NA
mee kio fazal baksh dek lia ab to kamiyar lie mar jaoanga,NA
80 lakh kashmiri taqreeban 4 hafton se curfew ke ander band hein,A
is tarah k tharki bndy ko mustaqbil mn chootya of the year ka award mil jaye ga,A
bharat ne maqbooza kashmir ke lakhon musalmaanon ke bunyaadi haqooq sulb ker ke unhen har qisam ki azadiyon se mehroom ker diya hai,A
plss give english subtitle,NA
lund py charh tu us gandy andy ki shakl waly k sath,A
looti dolat wapis kiye beghair kisi ko rehai nahi miley gi,A
teri bnda gaand b maaray or paise b na de,A
hamir mir ka bhai amir mir us se b bari chawal hai,A
thankyou for subtitles,NA
kisi judge ka video scandal hai to kisi ka whatsapp pegham per tabadlah yeh hai naye pakistan ka haal,A
love from bangladesh to my pakistani brother and sister,NA
kesi dil lagi tu meri zindagi tu wow mashallah nice i like it bro,NA
mely shan py lanat ho keya sekha rehy ho,NA
cybertruck hawa to nikal te he nahi he ya kya common sense he,A
aaj kon kon start kiya december hit like from india kha dekh rhe,NA
friaday and saturday wow,NA
add bangla subtitles,NA
nice use of canva,NA
anyone from nepal,NA
any one nepali here,NA
bangladesh ne rohingya camps mein muqeem 10 laakh panah guzeenon ke liye mobile phone ki rasai band ker di,A
ye dono phr hsbnd wife ban gye k bad hope idr b wese he funny ho,NA
asim n gaya h gaaana ye bht ziada huraha h ab,NA
big friends from bangladesh,NA
i waching today,NA
mamooli ilzamaat per zer e harasat afraad per police behemaanah tashaddud kerti hai,A
new year party mai bat srf dance tak rahe hoge ya srf dance tak he rehti,NA
only fans woof,NA
baji pesh kr k fame hasil kr le tu,A
dahej mein teray jesay hijrey ko lohay ka lun aur steel ke tattey milein gy bas,A
Trump ne Venezuela per nai muashi pabandiyan laga di hein,A
tons of love from bangladesh,NA
tu to ahmadi kutta nikla,A
kya bakwas drama cheezein deekha rahay hein night party club and alcohol youngsters in cheezon trf laya ja rha hy koi achi cheezein deekhaya kre,A
goron ki aadat hoti hai aisy faltu bhonkna,A
besharmo kia paish kar rahe ho hamare mazhub betia aaise,NA
ager tu kothay wali ka bacha na hota to aaj mujhe dhoka ne deta,A
fan attendance of ishq murshid and kabhi mai kabhi,NA
me from nepal,NA
alhumdolillah already figure earner as student in remote ecommerce,NA
bharat hamarey khilaf cyber jung ka aghaaz ker chuka hai,A
yahan peshaab kernay wala kuttey ka bacha hoga,A
teri bhen ko chodne wale hain ye sab,A
khalid maqbool ko chahiye ke wasim akhtar se isteefa lein aur unki party rukniyat bhi muattal kren,A
eyelashes plumbing lips just like kiley,NA
terey jesa harami dost rakhney se acha hai banda kutta paal le,A
director sab ye jo her drame mai khane table larhai behas shoro hojati ye koi acha lesson nahi de rahe her drame mai ye nhi hona chahye,NA
sub bhai darood shareef parh len ek bar,NA
ban kro bhai ye pakistani channel india sale humse view lekar terrorist funding karte,A
bhenchod kabi bat hi karliya karo khud se,A
karachi ki tabahi ke zimmeydaar mayor wasim akhtar hein unhon ne shehar mein koi acha kam nahi kiya,A
meray sarey dost jahil aur kaminey hein,A
bm ne share dekhey uske,NA
he has i agree,NA
pakistani hotay hi harami hein,A
kesa drama btye ga koi,NA
wo canada wala dalla sirf aur sirf inteshar phelaney pakistan aata hai,A
aik mukke pr painkillers wo bhi ghante k gap behosh bhi ho gya kya h aurat bhi zyda kamzor h chuza,A
hamas k missile girtay hi yahoodiyon ki maa chud gai,A
vote for daily episodes,NA
january kon kon ye drama dekh rha,NA
wow yar kia gari,NA
bharat aaney janey waley kisi jahaz ko apni fizai hadood se nahi guzenay dein gey,A
israel ki maa chudnay ka waqt hua chahta hai,A
bhai kaise theek karo gi jo khud car chalaty huy so raha,NA
very nice drama,NA
kiya mota hona insan ka gunah hota hai? dosron ka mazak urrana eik aam aadat bnti ja rahi hai,A
aurat hamesha dhoka hi deti hai,A
gashti ke bachey teri himmat kesay hui meray se badtameezi kernay ki,A
plz add eng subtitle,NA
karachi mein gujjar naaley ki safai media per jhoota propaganda kernay walon ko chup kraney ke liye kafi hai,A
apki ghair sanjeedgi ki wajah se tax revenue mein 600 arab ka khasara hai,A
true wo so kr car chal raha us larke ghalti normaly koi bhi hoga usse ghusa ayega k so kr ghari chala rahe ho accident hosakta i think justified,NA
ye tho madi b koi na rakhay nakhrey check kro,NA
ketna boring drama ha,NA
abi abi hamen pta chala hai k chooter chowk mn eik bnda halak ho gya hai,A
thank you for westing my time,NA
iqra aziz aur yasir hussain ne ajeeb kanjar khana shuru kiya huwa hai,A
no its not good,NA
drssing b half hy iski,NA
jab tak tu ye chutiyapa nahi chor deti main tery se nahi bolun ga,A
dharney ki wajah se sarak band honay per shehri aziyat se dochaar hein,A
apne baap arjun chutiye ke baare mein bol na,A
bohut bakchody ho gaye ho bhosrike,A
who started in ramadan,NA
dhamal chchaudhry sorry talal chaudhry maryam nawaz ka eham pegham le ker london mein muqeem hein,A
we watched from in usa from new jersey an we watch drama midnight and very interesting drama,NA
ajeeb esey kesey confirmation k usi hi hoga cyber truck jo nail paint laga k wait kerney lag gai,NA
hindustan ke log modi ke pagalpan ko shikast dein,A
badqismati se tahir ul qadri ko aaj tak insaf nahi mila,A
drama sunsilk add,NA
kutty aur musalman mein koi farq nahi,A
pta nhi bc sidnaaz ka drama kyu ni khatm kr rhe ye log,A
hi im from nepal,NA
hijron ki foj hai nepal ki,A
hakumat se koi khush nai awam bahir nikal ker selected ko aainah dikha dein gey,A
bukhari google ker k apni namaz theek kerien apki namaz ghalat plz must google and read hadith,NA
tu meri taraf se jahannum mai b chala ja to mery lun ko thand hai,A
hakumati iqdamaat se auto industry buri tarah mutaasir hui hai jis ki wajah se gariyon ki farokht mein 50% kami ho gai hai,A
english me likhna jaiz nahi kalma sharam karo drama sectione to bhi sharam karo,NA
papa k sar per baal nae byte k dress sleeves nae,NA
tabdeeli sarkar ne abhi tak police islahaat ke liye eik qadam bhi nahi uthaya,A
ghalat start kia hy drama vulgarity k sath who agree with me,NA
my favourite drama,NA
bhai cybertruck kahan aya,NA
in real life such toxic men can never be good partners stop glorifying it,NA
im from bangladesh,NA
i love hazratmuhammad,NA
nepali kuttey hamein gaaliyan de rahey hein,A
channel bhi new banaya he,NA
yeah dadi dadu kyo rakhte ho drame mebakwaas,NA
hala abbu sudhar gaye,NA
bhai tumlog pass kuchh content nhi sare drama ek jaise lgte hn whi ghhisa pita,NA
laanat ho aisay plate form pay his me in wo chezein dikhae jaein jo islam haram hein,NA
awam taxon ke bojh taley dum tor rahey hein aur 55 arab rupey tax wasooli ka salaanah hadaf poora nahi ho paa raha,A
kashmir banega pakistan support from usa,NA
lrkioun originality mar chuki ha kia best,NA
imran sahab peshawar metro ke eik arab ke khaddon aur eik arab darakhton mein kharbon ki corruption ke khilaf kis waqt aur kahan kharey hona hai?,A
molana fazal ur rehman ke liye islam nahi islamabad khaas hai,A
wazeer e azam eik confused shakhsiyat hein jin ki koi ideology aur vision nahi hai,A
mera mota lund teri choti gand phar k rakh de ga,A
26 january ko khalistani kutty bohut zyada khush ho rhy thy,A
pile apsod aise diresing toba hy pakistani bano moslim,NA
thats why director choose him,NA
maqbooza kashmir mein eid ke moqey per pakistan ka parcham lehra diya gaya jis per bharti fouj ne hajoom per laathi charge kiya,A
itna tu ansar bazmi ka sala,A
tu meri jindagi drama song my love,NA
aby chootye police aye hai ganden thoky gi ab,A
ye larki wo champion show wale hae haina,NA
baap aur beta donon hi pagal hein,A
pta ni log drama dekhty e q momin bn jaty hn,NA
sharabnoshiii tambakunoshi dance music sab haram to dekha q rahy na dekhawo na,NA
afghani sirf logon k boot chatnay k liay paida hoty hn,A
chal chal tu sirf bhonk or apni tareef kar randi,A
astifrullah kis kism drama ha dressing check karo,NA
zindagi rahi to phir teray kanjar khanay per chakkar lgaon gashti,A
mashry harab kr rahy ye log,NA
punjab hakumat ka lahore se soteili maa jesa salook barqarar shehar meini 93 jaari taraqqiyati schemoun per kam band,A
bharti hukkam maqbooza kashmir mein halaat mamool per aaney ke hawaley se jhoot bol rahey hein,A
bharat maqbooza kashmir mein apni harkaton se baaz nah aaya to sakht iqdaam kren gey,A
y ghar to alliyar,NA
me after mohra,NA
aby loru kia gand mara raha hai,A
maybe its kinda copy off hear me turkish drama,NA
Bc next video Naseebo lal pr bna do,A
larki kesi ageeb c h,NA
